找到 1 个数据文件

开始处理 ../../data/raw/pubmed_incremental_2026-03-31.json ...
✗ 导入失败 Nociceptor-derived CGRP enhances dermal type I conventional : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060174360c7ba22cbcbef0b3ad5a364f1d5ffd4d534385b', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Response to ritlecitinib with or without narrow-band ultravi: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017589289a6ab5dfd15f12fdf9b1912203a3c6550ae47', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 FUNDC1-dependent mitochondrial-ER membranes mediate mitochon: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017591606a9ddacc34765855f5d3132a5b7606aa7688d', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Efficacy and safety of fire needle therapy in treating non-s: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175941571e879a7e0eb1247cfcaaab487786a119f6fa', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Epigenetic regulation in vitiligo: mechanisms, challenges, a: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175968081222809c6b24dcd35df0bef1acd71de50d9c', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Biologic drugs induced vitiligo: case reports and review of : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601759904f24b207f6c3c840415c2dc20832f65feb2427', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 NLRP3 autophagic degradation disruption in melanocytes contr: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176011c7ba22cbcbef0b3ad5a364f1d5ffd4d54258ae', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Common Causes of Hypopigmentation in Children.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017603123e161740dedcf4b85605f5fdbc454b7403d41', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Targeted therapies induced depigmentation: a review.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176051a865bad2195e810a7735887290a9a7b6903418', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Assessment of vitiligo in clinical practice: a cross-section: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176072a359425639b98a3e37c95ba99a2c9f02c10a1e', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 MitoQ alleviates H<sub>2</sub>O<sub>2</sub>-induced mitochon: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017609183e4395af05ce286d33962f36a5e9379b35856', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Efficacy and safety of the oral Janus kinase 1 inhibitor pov: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176110bfc30f2d603fbcff5710ec3b641867d6c95c15', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo associated with type 2 immune inhibitors: FAERS ana: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176133abef7db0e51ae42a75ef9551e31b2ffaaf9e7a', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Exosome-derived microRNAs: emerging players in vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176156e598b1e7ef00194e20b378e3561cb7f32f0367', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Healthy lifestyle choices: new insights into vitiligo manage: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601761765dc9aa6c4e6a4204292e30580ff3cb0e8c9bea', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Biomimetic polydopamine loaded with janus kinase inhibitor f: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176204120e722ada647b25616493a4b3c13697d7e962', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 The Patient Journey in Vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017622889a6ab5dfd15f12fdf9b1912203a3c65d78c86', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Hair follicle-derived melanocyte transplant as a promising t: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176251941531497079c912b7846ffe9243569d6c6b99', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 The immunological pathogenesis of vitiligo and the potential: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176272b5f8b342eb5c19a62647ba431adb4128d1511b', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Potential future biologic therapies for the treatment of vit: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017631087ae225ab05a40b5f0c6e9f6bb22407256e578', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 A Hairless Mouse Model for Vitiligo: Enhancing Preclinical T: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601763361e8917f6489049782b636a98f4bd750c464f1a', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Value of tacrolimus 0.1% in the treatment of vitiligo in the: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601763632d63eac1fb1ea62df44fceb4e78e820a7e647c', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 The glycoprotein GPNMB protects against oxidative stress thr: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017638579e9bf0afca82c9100a3d2e8164ce29ca5f3a6', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Prognostic factors in childhood vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017640917b583df994443febf7558ad31fab19d65dd3f', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 AI fusion of multisource data identifies key features of vit: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601764303b744fffeb88c418a31726ba8a0f731cab2b43', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Associations and mediators between vitiligo and cardiovascul: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176448a5aa36059f80f26ea1c5566ca28d76a2455f55', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo Signature-Based Drug Screening Identifies Fulvestra: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176469f595b4ab252bbbf122a3441bab534558219155', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Drug-induced vitiligo: a real-world pharmacovigilance analys: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176498dd742fe08f96381a9e3cd447cf1b9ac3de91d1', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo and associated comorbidities: a case-control study : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176520716fddb08fde0ff9d4c650d24eb426d1c8946f', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 The psychosocial impact of pediatric vitiligo, psoriasis, ec: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601768313c2c450ca0aef45acfdd6c3b67cbe5ef4cb622', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Investigation of Hearing Loss in Pediatric Vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017685518cc8b35e794a1d5ce66758b690d3ae1890383', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Molecular and therapeutic landscape of ferroptosis in skin d: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176874f4c9d65db78e575a9b8a2c83caa1c4bc353fc0', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo: Ruxolitinib and Other Oral Treatment Options Beyon: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176895ff7e42601894b8ca0b6f61ff016a4cd4588728', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Ocular and auditory comorbidities in patients with vitiligo:: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601769174926e3bcfbddd98bc8d75f22def3c80f4c0ce8', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Abnormal metabolism in melanocytes participates in the activ: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060176938282dd6b0400b132890dfb41291202ffb1140c1', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Regulatory T Cell Dysregulation in Vitiligo: A Meta-Analysis: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017696191172dea4c1343f5a1ee75fbf798a6b0cdc870', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Tissue-resident memory T cells and their function in skin di: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017698160c4782a404485f424bd14ade1b062df4e1cb3', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Shared Genetic Architecture Between Atopic Dermatitis and Au: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601769975235aef975397f5d903665288b4210b529e004', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Understanding the Intricate Pathophysiology of Psoriasis and: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060177020e94dfd37f88856a39045f6d12708556fc7fa00', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Risk factors for cardiovascular diseases in patients with vi: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060177040ebccd2fabf8e7675e74d36de834f4c92f5db3e', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Targeting the IL-15/CD122 signaling pathway: reversing TRM c: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060177063e645a7ebc8dd03740e8d979685c0f6a0eb62c0', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Comprehensive single-cell chromatin and transcriptomic profi: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017708158d95f381f1ac74ba770d5c53b6856c27d25db', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Real world pharmacovigilance study of antineoplastic drug re: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017710299d87d16ed8391a13b2ea0541ce95464490329', 'param': '', 'type': 'Not Found'}}
